# Omega Rho_mean
4.609218436873747216e+00 1.643196866700659398e-01
4.619238476953907657e+00 1.652513760127489739e-01
4.629258517034068099e+00 1.661839011354248052e-01
4.639278557114228541e+00 1.671171808438509099e-01
4.649298597194388982e+00 1.680511343360054088e-01
4.659318637274548536e+00 1.689856812264712571e-01
4.669338677354708977e+00 1.699207415549956468e-01
4.679358717434869419e+00 1.708562358028265782e-01
4.689378757515029861e+00 1.717920849175496312e-01
4.699398797595190302e+00 1.727282103143199798e-01
4.709418837675350744e+00 1.736645339015915335e-01
4.719438877755511186e+00 1.746009780933120425e-01
4.729458917835670739e+00 1.755374658198469995e-01
4.739478957915831181e+00 1.764739205467281413e-01
4.749498997995991623e+00 1.774102662874137426e-01
4.759519038076152064e+00 1.783464276199465681e-01
4.769539078156312506e+00 1.792823296917306075e-01
4.779559118236472948e+00 1.802178982382363903e-01
4.789579158316633389e+00 1.811530596031704909e-01
4.799599198396793831e+00 1.820877407323948649e-01
4.809619238476953385e+00 1.830218692090227195e-01
4.819639278557113826e+00 1.839553732427883781e-01
4.829659318637274268e+00 1.848881817037806019e-01
4.839679358717434710e+00 1.858202241113217912e-01
4.849699398797595151e+00 1.867514306628671183e-01
4.859719438877755593e+00 1.876817322363664442e-01
4.869739478957916035e+00 1.886110603977578515e-01
4.879759519038075588e+00 1.895393474194993766e-01
4.889779559118236030e+00 1.904665262856386765e-01
4.899799599198396471e+00 1.913925306940371107e-01
4.909819639278556913e+00 1.923172950791113001e-01
4.919839679358717355e+00 1.932407546103045715e-01
4.929859719438877796e+00 1.941628452028398844e-01
4.939879759519038238e+00 1.950835035242807491e-01
4.949899799599197792e+00 1.960026670057853360e-01
4.959919839679358233e+00 1.969202738472856928e-01
4.969939879759518675e+00 1.978362630199981265e-01
4.979959919839679117e+00 1.987505742799573760e-01
4.989979959919839558e+00 1.996631481698328825e-01
5.000000000000000000e+00 2.005739260228295573e-01
