# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss
1.626065792000000000e+09 6.151136159896850586e-01 2.955773659050464630e-02 1.626065792000000000e+09
1.626549888000000000e+09 6.183832883834838867e-01 2.956233732402324677e-02 1.626549888000000000e+09
1.626996736000000000e+09 6.216944456100463867e-01 2.956665866076946259e-02 1.626996736000000000e+09
1.627382016000000000e+09 6.249919533729553223e-01 2.957142330706119537e-02 1.627382016000000000e+09
1.627842304000000000e+09 6.283126473426818848e-01 2.957616560161113739e-02 1.627842304000000000e+09
1.628262912000000000e+09 6.315860152244567871e-01 2.958060055971145630e-02 1.628262912000000000e+09
1.628680704000000000e+09 6.349021196365356445e-01 2.958524972200393677e-02 1.628680704000000000e+09
1.629212416000000000e+09 6.382200717926025391e-01 2.959010377526283264e-02 1.629212416000000000e+09
1.629689344000000000e+09 6.415228843688964844e-01 2.959492430090904236e-02 1.629689344000000000e+09
1.630325376000000000e+09 6.448623538017272949e-01 2.959977090358734131e-02 1.630325376000000000e+09
